match_id,point_id,set_num,score_A,score_B,set_A,set_B,serveur,winner,nb_coups,duree_frames,duree_secondes,frame_debut,frame_fin,sequence_coups,sequence_lateralites,sequence_effets,sequence_zones,service_lateralite,service_zone,faute_type,faute_lateralite,dernier_coup,derniere_zone,clip_path,player_A,player_B,competition,date
FAN-ZHENDONG_vs_TRULS-MOREGARD,0,1,0,0,0,0,FAN-ZHENDONG,,5,122,4.88,0,122,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,coup_droit,coup_droit,revers,revers","service,poussette,poussette,topspin,topspin","m1,d3,g2,g3",coup_droit,m1,out,,topspin,,clips/set_1_point_0/set_1_point_0.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,1,1,0,0,0,0,FAN-ZHENDONG,,4,96,3.84,0,96,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,revers,coup_droit,revers","service,poussette,poussette,topspin","m2,m3,g2",coup_droit,m2,out,,topspin,,clips/set_1_point_1/set_1_point_1.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,2,1,0,0,0,0,TRULS-MOREGARD,,3,35,1.4,0,35,"TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_contre","coup_droit,revers,coup_droit","service,poussette,topspin","m2,g2,m3",coup_droit,m2,pt_gagne,,topspin,m3,clips/set_1_point_2/set_1_point_2.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,3,1,0,0,0,0,TRULS-MOREGARD,,2,45,1.8,0,45,"TRULS-MOREGARD,serveur_point_pour","coup_droit,revers","service,topspin",g3,coup_droit,g3,out,,topspin,,clips/set_1_point_3/set_1_point_3.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,4,1,0,0,0,0,FAN-ZHENDONG,,3,73,2.92,0,73,"FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,revers,revers","service,flip,topspin","m2,g3",coup_droit,m2,filet,,topspin,,clips/set_1_point_4/set_1_point_4.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,5,1,0,0,0,0,FAN-ZHENDONG,,8,134,5.36,0,134,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,revers,revers,revers,revers,revers,coup_droit,revers","service,topspin,topspin,bloc,topspin,topspin,topspin,bloc","g2,m2,m3,m3,g3,m3,g3",coup_droit,g2,out,,bloc,,clips/set_1_point_5/set_1_point_5.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,6,1,0,0,0,0,TRULS-MOREGARD,,2,24,0.96,0,24,"TRULS-MOREGARD,serveur_point_contre","coup_droit,revers","service,poussette","g2,m1",coup_droit,g2,pt_gagne,,poussette,m1,clips/set_1_point_6/set_1_point_6.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,7,1,0,0,0,0,TRULS-MOREGARD,,5,59,2.36,0,59,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,coup_droit,coup_droit,revers,revers","service,poussette,poussette,flip,topspin","d2,m2,d2,g3",coup_droit,d2,filet,,topspin,,clips/set_1_point_7/set_1_point_7.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,8,1,0,0,0,0,FAN-ZHENDONG,,11,164,6.56,0,164,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,coup_droit,revers,coup_droit,revers,revers,revers,revers,revers,revers,coup_droit","service,poussette,topspin,topspin,topspin,bloc,topspin,bloc,topspin,topspin,topspin","g1,m3,m2,g3,g3,m2,g2,g3,g2,m3",coup_droit,g1,filet,,topspin,,clips/set_1_point_8/set_1_point_8.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,9,1,0,0,0,0,FAN-ZHENDONG,,4,66,2.64,0,66,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_contre","coup_droit,revers,revers,revers","service,topspin,topspin,bloc","g2,g3,g3,d3",coup_droit,g2,pt_gagne,,bloc,d3,clips/set_1_point_9/set_1_point_9.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,10,1,0,0,0,0,TRULS-MOREGARD,,4,49,1.96,0,49,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_contre","coup_droit,coup_droit,revers,revers","service,poussette,topspin,topspin","d3,g2,m3,d2",coup_droit,d3,pt_gagne,,topspin,d2,clips/set_1_point_10/set_1_point_10.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,11,1,0,0,0,0,TRULS-MOREGARD,,6,119,4.76,0,119,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,coup_droit,coup_droit,coup_droit,revers,revers","service,poussette,topspin,bloc,bloc,topspin","d2,d3,d2,d3,m3",coup_droit,d2,filet,,topspin,,clips/set_1_point_11/set_1_point_11.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,12,1,0,0,0,0,FAN-ZHENDONG,,4,76,3.04,0,76,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,coup_droit,revers,revers","service,poussette,flip,bloc","m2,g2,m2",coup_droit,m2,filet,,bloc,,clips/set_1_point_12/set_1_point_12.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,13,1,0,0,0,0,FAN-ZHENDONG,,4,100,4.0,0,100,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,revers,coup_droit,coup_droit","service,poussette,poussette,topspin","g2,d2,g2",coup_droit,g2,out,,topspin,,clips/set_1_point_13/set_1_point_13.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,14,1,0,0,0,0,TRULS-MOREGARD,,2,26,1.04,0,26,"TRULS-MOREGARD,serveur_point_pour","coup_droit,revers","service,poussette",g2,coup_droit,g2,filet,,poussette,,clips/set_1_point_14/set_1_point_14.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,15,1,0,0,0,0,TRULS-MOREGARD,,6,82,3.28,0,82,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,revers,coup_droit,revers,revers,revers","service,poussette,poussette,topspin,bloc,bloc","g2,m1,g3,g2,g3",coup_droit,g2,out,,bloc,,clips/set_1_point_15/set_1_point_15.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,16,1,0,0,0,0,FAN-ZHENDONG,,5,97,3.88,0,97,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,coup_droit,revers,revers,revers","service,poussette,topspin,bloc,topspin","d2,m3,g3,g3",coup_droit,d2,filet,,topspin,,clips/set_1_point_16/set_1_point_16.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,17,1,0,0,0,0,FAN-ZHENDONG,,5,82,3.28,0,82,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,revers,revers,coup_droit,revers","service,flip,topspin,topspin,topspin","g2,m3,g2,g3",coup_droit,g2,filet,,topspin,,clips/set_1_point_17/set_1_point_17.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,18,2,0,0,0,0,TRULS-MOREGARD,,2,72,2.88,0,72,"TRULS-MOREGARD,serveur_point_pour","coup_droit,revers","service,topspin",g2,coup_droit,g2,out,,topspin,,clips/set_2_point_18/set_2_point_18.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,19,2,0,0,0,0,TRULS-MOREGARD,,5,54,2.16,0,54,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,revers,coup_droit,revers,revers","service,topspin,topspin,topspin,bloc","m3,g3,g3,g3",coup_droit,m3,out,,bloc,,clips/set_2_point_19/set_2_point_19.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,20,2,0,0,0,0,FAN-ZHENDONG,,4,50,2.0,0,50,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_contre","coup_droit,coup_droit,coup_droit,coup_droit","service,poussette,topspin,topspin","m2,d2,d3,d3",coup_droit,m2,pt_gagne,,topspin,d3,clips/set_2_point_20/set_2_point_20.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,21,2,0,0,0,0,FAN-ZHENDONG,,5,95,3.8,0,95,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,revers,coup_droit,revers,coup_droit","service,poussette,topspin,bloc,bloc","m2,m3,g3,d3",coup_droit,m2,out,,bloc,,clips/set_2_point_21/set_2_point_21.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,22,2,0,0,0,0,TRULS-MOREGARD,,5,75,3.0,0,75,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,revers,coup_droit,revers,coup_droit","service,poussette,poussette,poussette,flip","g1,m2,m1,d2",coup_droit,g1,filet,,flip,,clips/set_2_point_22/set_2_point_22.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,23,2,0,0,0,0,TRULS-MOREGARD,,5,76,3.04,0,76,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_contre","coup_droit,coup_droit,coup_droit,coup_droit,revers","service,poussette,poussette,topspin,bloc","d2,m2,d2,m3,d2",coup_droit,d2,pt_gagne,,bloc,d2,clips/set_2_point_23/set_2_point_23.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,24,2,0,0,0,0,FAN-ZHENDONG,,3,88,3.52,0,88,"FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_contre","coup_droit,revers,revers","service,poussette,topspin","g3,m2,d3",coup_droit,g3,pt_gagne,,topspin,d3,clips/set_2_point_24/set_2_point_24.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,25,2,0,0,0,0,FAN-ZHENDONG,,4,48,1.92,0,48,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,coup_droit,revers,revers","service,poussette,flip,bloc","m2,m1,g3",coup_droit,m2,filet,,bloc,,clips/set_2_point_25/set_2_point_25.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,26,2,0,0,0,0,TRULS-MOREGARD,,9,170,6.8,0,170,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,revers,coup_droit,revers,revers,revers,coup_droit,coup_droit,revers","service,poussette,poussette,topspin,bloc,topspin,bloc,topspin,bloc","g1,d2,g2,g2,m2,d3,m1,g3",coup_droit,g1,out,,bloc,,clips/set_2_point_26/set_2_point_26.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,27,2,0,0,0,0,TRULS-MOREGARD,,7,81,3.24,0,81,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_contre","coup_droit,coup_droit,coup_droit,revers,revers,coup_droit,coup_droit","service,poussette,poussette,topspin,bloc,topspin,topspin","d2,g2,g2,g3,m3,d3,d1",coup_droit,d2,pt_gagne,,topspin,d1,clips/set_2_point_27/set_2_point_27.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,28,2,0,0,0,0,FAN-ZHENDONG,,4,91,3.64,0,91,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,coup_droit,revers,revers","service,topspin,topspin,topspin","d2,g2,g3",coup_droit,d2,filet,,topspin,,clips/set_2_point_28/set_2_point_28.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,29,2,0,0,0,0,FAN-ZHENDONG,,5,90,3.6,0,90,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_contre","coup_droit,revers,revers,revers,revers","service,bloc,topspin,bloc,topspin","m3,g3,g2,g3,d3",coup_droit,m3,pt_gagne,,topspin,d3,clips/set_2_point_29/set_2_point_29.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,30,2,0,0,0,0,TRULS-MOREGARD,,4,78,3.12,0,78,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,coup_droit,coup_droit,coup_droit","service,poussette,topspin,bloc","d1,g2,d2",coup_droit,d1,filet,,bloc,,clips/set_2_point_30/set_2_point_30.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,31,2,0,0,0,0,TRULS-MOREGARD,,6,113,4.52,0,113,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,coup_droit,coup_droit,coup_droit,revers,revers","service,poussette,topspin,topspin,bloc,coupe","d2,d2,d2,g3,g3",coup_droit,d2,out,,coupe,,clips/set_2_point_31/set_2_point_31.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,32,2,0,0,0,0,FAN-ZHENDONG,,3,68,2.72,0,68,"FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,coup_droit,coup_droit","service,topspin,bloc","d2,d2",coup_droit,d2,out,,bloc,,clips/set_2_point_32/set_2_point_32.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,33,2,0,0,0,0,FAN-ZHENDONG,,6,119,4.76,0,119,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,coup_droit,revers,coup_droit,revers,revers","service,poussette,poussette,topspin,topspin,bloc","m2,m1,d3,g3,g3",coup_droit,m2,out,,bloc,,clips/set_2_point_33/set_2_point_33.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,34,2,0,0,0,0,TRULS-MOREGARD,,6,93,3.72,0,93,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,revers,revers,coup_droit,revers,coup_droit","service,poussette,topspin,topspin,bloc,topspin","g2,g3,m2,g3,d2",coup_droit,g2,filet,,topspin,,clips/set_2_point_34/set_2_point_34.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,35,2,0,0,0,0,TRULS-MOREGARD,,4,44,1.76,0,44,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_contre","coup_droit,coup_droit,coup_droit,coup_droit","service,poussette,poussette,topspin","d2,m2,d2,d3",coup_droit,d2,pt_gagne,,topspin,d3,clips/set_2_point_35/set_2_point_35.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,36,2,0,0,0,0,FAN-ZHENDONG,,6,106,4.24,0,106,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,revers,revers,revers,revers,revers","service,flip,topspin,topspin,topspin,bloc","m2,g3,g3,g3,g2",coup_droit,m2,out,,bloc,,clips/set_2_point_36/set_2_point_36.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,37,2,0,0,0,0,FAN-ZHENDONG,,10,156,6.24,0,156,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,coup_droit,revers,revers,revers,revers,revers,revers,revers,coup_droit","service,poussette,topspin,bloc,topspin,topspin,topspin,bloc,topspin,bloc","m2,m2,g3,g3,g3,m3,g3,m2,d3",coup_droit,m2,out,,bloc,,clips/set_2_point_37/set_2_point_37.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,38,3,0,0,0,0,FAN-ZHENDONG,,7,148,5.92,0,148,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,coup_droit,coup_droit,coup_droit,revers,revers,coup_droit","service,poussette,poussette,poussette,topspin,bloc,bloc","m2,d2,m2,m3,g2,d3",coup_droit,m2,out,,bloc,,clips/set_3_point_38/set_3_point_38.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,39,3,0,0,0,0,FAN-ZHENDONG,,9,127,5.08,0,127,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_contre","coup_droit,coup_droit,coup_droit,revers,revers,revers,revers,revers,revers","service,poussette,poussette,topspin,topspin,topspin,topspin,topspin,topspin","m2,m2,g2,g3,g3,m3,g2,g3,d2",coup_droit,m2,pt_gagne,,topspin,d2,clips/set_3_point_39/set_3_point_39.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,40,3,0,0,0,0,TRULS-MOREGARD,,5,79,3.16,0,79,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_contre","coup_droit,revers,revers,revers,coup_droit","service,flip,bloc,topspin,topspin","g2,g3,g3,g2,d2",coup_droit,g2,pt_gagne,,topspin,d2,clips/set_3_point_40/set_3_point_40.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,41,3,0,0,0,0,TRULS-MOREGARD,,1,35,1.4,0,35,serveur_point_pour,coup_droit,service,,coup_droit,,filet,,serveur_point_pour,,clips/set_3_point_41/set_3_point_41.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,42,3,0,0,0,0,FAN-ZHENDONG,,4,105,4.2,0,105,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,revers,revers,coup_droit","service,poussette,poussette,topspin","g1,m3,g3",coup_droit,g1,filet,,topspin,,clips/set_3_point_42/set_3_point_42.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,43,3,0,0,0,0,FAN-ZHENDONG,,9,153,6.12,0,153,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,coup_droit,coup_droit,revers,revers,revers,revers,revers,coup_droit","service,topspin,topspin,topspin,topspin,bloc,topspin,bloc,topspin","g2,m3,g2,g2,g2,m3,m2,d3",coup_droit,g2,filet,,topspin,,clips/set_3_point_43/set_3_point_43.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,44,3,0,0,0,0,TRULS-MOREGARD,,17,281,11.24,0,281,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,coup_droit,revers,coup_droit,coup_droit,coup_droit,revers,coup_droit,revers,coup_droit,coup_droit,coup_droit,coup_droit,coup_droit,coup_droit,coup_droit,revers","service,poussette,poussette,topspin,topspin,topspin,topspin,topspin,topspin,topspin,topspin,topspin,topspin,topspin,topspin,topspin,bloc","d2,g1,d2,d2,d3,m2,d3,g3,m3,d2,g2,d2,g3,d2,d2,g3",coup_droit,d2,out,,bloc,,clips/set_3_point_44/set_3_point_44.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,45,3,0,0,0,0,TRULS-MOREGARD,,3,47,1.88,0,47,"TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,revers,revers","service,topspin,bloc","g3,g2",coup_droit,g3,out,,bloc,,clips/set_3_point_45/set_3_point_45.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,46,3,0,0,0,0,FAN-ZHENDONG,,2,51,2.04,0,51,"FAN-ZHENDONG,serveur_point_pour","coup_droit,revers","service,flip",d1,coup_droit,d1,out,,flip,,clips/set_3_point_46/set_3_point_46.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,47,3,0,0,0,0,FAN-ZHENDONG,,4,87,3.48,0,87,"FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_pour","coup_droit,coup_droit,revers,revers","service,poussette,topspin,bloc","m1,g3,g2",coup_droit,m1,out,,bloc,,clips/set_3_point_47/set_3_point_47.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,48,3,0,0,0,0,TRULS-MOREGARD,,3,49,1.96,0,49,"TRULS-MOREGARD,FAN-ZHENDONG,serveur_point_contre","coup_droit,revers,coup_droit","service,poussette,topspin","g2,g2,d3",coup_droit,g2,pt_gagne,,topspin,d3,clips/set_3_point_48/set_3_point_48.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
FAN-ZHENDONG_vs_TRULS-MOREGARD,49,3,0,0,0,0,TRULS-MOREGARD,,6,95,3.8,0,95,"TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,serveur_point_pour","coup_droit,coup_droit,coup_droit,coup_droit,revers,revers","service,poussette,poussette,poussette,topspin,topspin","d2,m1,d2,g3,g3",coup_droit,d2,out,,topspin,,clips/set_3_point_49/set_3_point_49.mp4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG vs TRULS-MOREGARD,2025-03-11
